SubjectID	__id__	timestamp	x	y	z	Clase
74	cWJBpPenehdv0cKT27e0	2024-11-22T12:03:24.246720	-0.878595412	4.031136513	5.585739613	0
75	fje4GM7jBCNRivPaHoG6	2024-11-22T12:03:25.834683	-1.280265927	4.972172737	7.130402088	0
76	gF5cHFWKUL6x5TIR34W9	2024-11-22T12:03:23.452079	-2.111341	5.590307713	8.010328293	0
77	gS6AdrfYVXF3ibQMHqDr	2024-11-22T12:03:18.094929	-3.375556231	5.472513199	9.263261795	0
78	kPs5u95NXBR0UiGcBfx3	2024-11-22T12:03:26.232558	-2.351651907	4.744857311	7.223938465	0
79	ktzLC60INYYTQ3qlEw1k	2024-11-22T12:03:17.894544	-1.106973529	4.36649704	7.740242958	0
80	lvqo7E2qovMtsI0KGQEM	2024-11-22T12:03:23.848903	0.075723812	4.774737358	6.578931332	0
81	lw3LVOADo4LBAygaa5Rd	2024-11-22T12:03:22.460654	-0.064949907	4.37353611	7.938071251	0
82	p4nxVfMOoQD4LgfhWaly	2024-11-22T12:03:25.242839	-1.227813721	4.054666519	8.449367523	0
83	sMJPvIfHsgK18EDLCfNN	2024-11-22T12:03:17.496045	-2.02879858	4.584369659	9.707089424	0
84	sWH0dQzPAcbsSg4zoGrP	2024-11-22T12:03:21.864622	-1.397236943	3.884563446	6.254401684	0
85	tNQuq82brQWbLZBQy3Rd	2024-11-22T12:03:18.294363	-1.878624797	2.550121546	7.789908886	0
86	tzVePQTMPtYUg26QNj6x	2024-11-22T12:03:21.069462	-3.747002125	5.505753994	10.30386829	0
87	uOThR61TfYQemgwy7USR	2024-11-22T12:03:25.636230	-0.846503556	4.807595253	10.24621582	0
88	xKZU7g5wniLfnZNxi8b5	2024-11-22T12:03:16.702441	-0.976154387	4.595143318	8.115653992	0
89	xpg3ZLAWGqWQXBvjfdVm	2024-11-22T12:03:20.275791	-1.607198834	2.700879812	7.29053545	0
90	yIvtOCceEkS9b8sMo9tO	2024-11-22T12:03:24.444537	-2.708818913	4.813063622	8.352766991	0
91	zLhfcWmPUqN69d5NylAF	2024-11-22T12:03:20.676920	-0.540486276	1.759067893	10.71855354	0
92	0McRVpALVdJDHLa3F5IX	2024-11-22T12:03:50.253186	-1.940126896	6.81391716	7.68946743	0
93	0UNwZhumTISoUWToKZqz	2024-11-22T12:03:45.289914	-1.585469127	4.594434738	6.670293808	0
94	44XjcVyhgbCSX9RAtCHO	2024-11-22T12:03:43.903188	-1.68858254	4.295638084	10.72010517	0
95	4WTu2EX2iezO5r6qsBuR	2024-11-22T12:03:49.857547	-2.662505627	5.988233566	8.078017235	0
96	7kDndVX72vAjVphf1GE9	2024-11-22T12:03:42.709612	-1.46806705	3.73923564	10.52095509	0
97	9HyIvq4QtYLdi4pGkapl	2024-11-22T12:03:48.868687	-0.788017929	4.065440655	6.331677437	0
98	A9nZ5O6zCGi6l9j5dc3z	2024-11-22T12:03:49.262083	-0.252310544	5.695901871	9.386008263	0
99	APkpHUnPgEAcD2g6pXbL	2024-11-22T12:03:50.456388	-1.80309236	5.481132507	8.989643097	0
100	CoStr3bohICYSHNkMDgw	2024-11-22T12:03:44.297382	-1.326675057	4.592605591	9.011813164	0
